Tempo,X,Y,Theta
0.05034160614013672,0.0,0.0,0.0
0.10065865516662598,0.0,0.0,0.0
0.15091800689697266,0.0,0.0,0.0
0.2011258602142334,0.0,0.0,0.0
0.2513082027435303,0.0,0.0,0.0
0.30150723457336426,0.0,0.0,0.0
0.35172438621520996,0.0,0.0,0.0
0.4030148983001709,0.0,0.0,0.0
0.45328474044799805,0.0,0.0,0.0
0.503481388092041,0.0,0.0,0.0
0.5536313056945801,0.0,0.0,0.0
0.6038117408752441,0.0,0.0,0.0
0.6539852619171143,0.0,0.0,0.0
0.704138994216919,0.0,0.0,0.0
0.7542893886566162,0.0,0.0,0.0
0.8044326305389404,0.0,0.0,0.0
0.8545691967010498,0.0,0.0,0.0
0.9047019481658936,0.0,0.0,0.0
0.9548351764678955,0.0,0.0,0.0
1.0050780773162842,0.0,0.0,0.0
1.0563900470733643,0.007880069485544141,-3.809613774549778e-05,-0.5539877300613495
1.106691837310791,0.0173358213568229,-0.0001295257998793272,-0.5539877300613495
1.1569583415985107,0.03151862039821894,-0.0003352385330102815,-1.1079754601226992
1.2072303295135498,0.04570141943961499,-0.0005409512661412358,-0.5539877300613495
1.2574841976165771,0.06146100589174626,-0.0006933340363642848,-0.5539877300613495
1.307741403579712,0.07879715875994338,-0.00077714553940438,-2.981770013872047e-16
1.3580100536346436,0.09298128383392283,-0.0008457185873462762,-0.5539877300613502
1.4083361625671387,0.11031743670211995,-0.0009295300903863716,-9.93923337957349e-16
1.4586482048034668,0.12765358957031706,-0.0010133415934264669,-0.5539877300613502
1.5089106559753418,0.14656509331287457,-0.001196200917694126,-0.5539877300613502
1.559164047241211,0.16705327397528935,-0.0012952508758324202,-2.981770013872047e-16
1.609445333480835,0.1859656617498999,-0.0012952508758324202,-2.981770013872047e-16
1.6597785949707031,0.20645384241231468,-0.0011962009176941261,0.5539877300613496
1.7100212574005127,0.22694202307472944,-0.001097150959555832,-2.981770013872047e-16
1.7602906227111816,0.24585441084933998,-0.001097150959555832,-2.981770013872047e-16
1.810584306716919,0.26476679862395053,-0.001097150959555832,-2.981770013872047e-16
1.8608474731445312,0.2852549792863653,-0.000998101001417538,0.5539877300613496
1.911088466644287,0.3057412445683818,-0.0007009603868950484,1.1079754601226994
1.9613189697265625,0.32622750985039833,-0.0004038197723725588,0.5539877300613496
2.0115678310394287,0.34513901359295585,-0.0002209604481048999,0.5539877300613496
2.0618185997009277,0.3608986000450871,-6.857767788185078e-05,0.5539877300613496
2.1121087074279785,0.3703543519163659,2.2851984251978668e-05,0.5539877300613496
2.162461519241333,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.2127299308776855,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.2629716396331787,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.3132259845733643,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.3634819984436035,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.4137144088745117,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.4639859199523926,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.5142674446105957,0.3766581864972184,8.38050923411983e-05,0.5539877300613496
2.564547061920166,0.3766581864972184,8.38050923411983e-05,-3.8779141104294474
2.614830493927002,0.3797890579833748,-0.0002810992282787368,-9.417791411042943
2.6651270389556885,0.3813311588406699,-0.000606372655472422,-14.40368098159509
2.715397596359253,0.3843426868149604,-0.0015370770586532777,-19.943558282208585
2.7657272815704346,0.38725029987249593,-0.002754162813102549,-25.483435582822082
2.8159806728363037,0.3886421587102475,-0.0034934914492864145,-30.469325153374232
2.86622953414917,0.391278510519588,-0.005221253169959001,-36.009202453987726
2.916469097137451,0.39373575303640906,-0.00719545443618323,-41.549079754601216
2.9667248725891113,0.39713445142665305,-0.010482360270053481,-46.53496932515336
3.016988754272461,0.4012449546353814,-0.015262089245128485,-52.07484662576686
3.0672411918640137,0.4030598927032002,-0.01783920221044772,-57.61472392638036
3.1174848079681396,0.40461756298899837,-0.020579489550632296,-63.15460122699385
3.1677255630493164,0.40525352481535937,-0.02202151257816001,-69.2484662576687
3.218074321746826,0.40574730546073207,-0.023518195086497665,-74.23435582822084
3.2683253288269043,0.40645613551960585,-0.02658952564078051,-79.77423312883434
3.3185932636260986,0.40645613551960585,-0.02658952564078051,-85.31411042944784
3.3688385486602783,0.40650121208634526,-0.028164913199332245,-91.40797546012267
3.4190945625305176,0.40606955542118933,-0.040765780444882334,-92.51595092024537
3.470012903213501,0.4059927604417862,-0.04233994066152074,-93.06993865030671
3.5203728675842285,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.5706772804260254,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.620914936065674,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.6711604595184326,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.721407175064087,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.771618127822876,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.8218889236450195,0.40582395192380266,-0.0454874817828233,-93.06993865030671
3.872161865234375,0.40582395192380266,-0.0454874817828233,-93.06993865030671
